Grupo	Nome	Preço	Margem Lucro	Total Prateleiras	Probabilidade Priori
1	ARROZ	2.00	10	5	0.004632
1	MASSA	1.70	5	5	0.008337
1	BATATA	1.00	3	5	0.011579
1	LEITE	1.50	10	5	0.020843
1	ESPARGUETE	1.00	10	3	0.024548
1	GELATINA	1.00	15	1	0.027791
2	CARNE PORCO	2.00	17	3	0.031496
2	CARNE FRANCO	4.00	18	3	0.034738
2	CARNE PERU	2.00	18	3	0.037517
2	CARNE CORDEIRO	5.00	17	1	0.038444
2	CARNE BORREGO	5.00	20	1	0.039370
2	LOMBO	6.00	21	1	0.041223
2	HAMBURGERS	3.00	25	1	0.046318
2	ALMONDEGAS	2.00	25	1	0.050950
3	VINHO	5.00	17	3	0.064845
3	SUMOL LIGHT	2.00	19	2	0.076424
3	7UP	2.00	20	1	0.085688
3	AGUA	0.50	5	5	0.132006
3	ICETEA	1.50	16	3	0.148680
3	WHISKY	20.00	26	1	0.149606
3	GIN	30.00	29	1	0.150996
3	ÁGUA TÓNICA	3.00	25	1	0.152385
3	SUMOL	1.50	18	1	0.159333
3	PEPSI	2.00	18	2	0.168133
3	COCA-COLA	2.00	17	2	0.178786
3	COMPAL	1.70	14	1	0.187587
3	VINHO BRANCO	3.00	20	1	0.194998
3	VODKA	18.00	30	1	0.196387
3	SUMOS NATURAIS	6.00	8	1	0.198240
3	CHAMPOMIX	5.00	10	1	0.199166
3	AGUARDENTE	17.00	20	1	0.199629
4	QUEIJO	7.00	16	2	0.207967
4	IOGURTE	3.00	15	3	0.219546
4	IOGURTE LIGHT	4.00	15	2	0.229736
4	IOGURTES CRIANÇA	3.00	16	2	0.239000
4	IOGURTES LIQUIDOS	3.00	18	2	0.247337
5	ALFACE	0.50	4	2	0.261232
5	COUVE	0.70	6	2	0.274201
5	BERINGELA	0.80	7	1	0.282538
5	MELANCIA	1.20	3	2	0.290875
5	MORANGOS	2.00	4	1	0.299676
5	TOMATE	1.00	2	1	0.309866
5	UVAS	2.00	8	1	0.314497
5	PERA	1.00	9	2	0.322371
5	MAÇÃ	1.00	1	2	0.329782
5	KIWI	1.00	2	1	0.335340
5	CEBOLA	1.00	3	1	0.340435
5	LARANJAS	1.00	4	1	0.351088
5	MANGAS	1.50	4	1	0.357573
5	PEPINOS	1.00	5	1	0.362668
5	CENOURA	1.00	5	1	0.367300
5	ANANÁS	2.00	3	1	0.371005
5	TANGERINA	1.20	2	1	0.378879
5	MAMÃO	2.00	3	1	0.380732
5	PAPAIA	2.00	4	1	0.382121
5	ABACATE	2.00	5	1	0.383048
5	SARDINHA	2.00	11	2	0.389532
6	LAGOSTA	35.00	20	1	0.389995
6	CAMARÃO	20.00	20	1	0.391848
6	ROBALO	6.00	12	2	0.396017
6	DOURADA	6.00	13	2	0.401575
6	CORVINA	5.00	13	2	0.406670
6	BUZIOS	15.00	14	1	0.407596
6	BACALHAU	16.00	15	3	0.414081
6	PESCADA	5.00	11	2	0.419176
6	AMEIJOAS	5.00	18	1	0.420565
6	CARAPAU	4.00	10	2	0.428902
6	SAPATEIRA	18.00	20	1	0.430292
7	CARVÃO	8.00	5	2	0.433534
7	FÓSFOROS	0.50	5	1	0.436776
7	ASSADOR	20.00	21	1	0.437239
7	GRELHADOR	19.00	22	1	0.437703
8	COMIDA GATO	0.30	7	1	0.441408
8	COMIGA CÃO	0.50	8	1	0.445577
8	COMIDA PASSARO	0.20	7	1	0.449282
8	COMIDA PEIXE	0.30	8	1	0.452987
8	TRELAS	10.00	7	1	0.454840
8	AQUÁRIOS	12.00	10	1	0.456230
9	FRUTOS SECOS	3.00	7	1	0.461325
9	PÃO	0.30	3	5	0.507642
9	PÃO DE FORMA	0.30	4	2	0.530801
9	AMEINDOINS	0.40	5	1	0.537286
9	CAFÉ	4.00	6	3	0.547939
9	CEREAIS	3.50	7	3	0.560445
9	CEREAIS LIGHT	3.70	8	2	0.571561
10	ERVAS AROMÁTICAS	0.10	10	1	0.579898
10	COMIDA PRÉ-FEITA	3.00	32	2	0.585456
10	OVOS	1.00	16	3	0.593330
11	CHOURIÇA	2.50	14	1	0.596572
11	PIZAS	4.00	13	1	0.601667
11	PRESUNTO	4.00	15	1	0.603983
11	BACON	2.00	17	1	0.605836
11	FIAMBRE	2.00	28	1	0.609541
11	SAL	0.25	2	1	0.617879
11	AZEITE	1.00	6	1	0.626679
11	VINAGRE	0.30	5	1	0.635016
11	OLEO	0.50	4	1	0.642890
12	PASTILHAS	0.20	7	1	0.649838
12	REBUÇADOS	0.20	9	1	0.656322
12	GOMAS	0.30	10	1	0.662344
12	GELADOS	0.70	10	1	0.667439
12	CHOCOLATES	0.80	10	1	0.672070
12	BRINQUEDOS	4.00	15	1	0.675313
12	BOLOS	2.00	18	1	0.678092
13	LAVA LOIÇA	1.00	7	1	0.681797
13	PANOS LIMPEZA	1.00	8	1	0.684576
14	MÁQUINAS CAFÉ	58.00	9	1	0.685503
15	LAVA ROUPA	1.00	8	1	0.690597
15	LAVA TUDO	1.00	8	1	0.697082
15	ESFREGONA	2.00	7	1	0.699861
15	FLORES	1.50	18	1	0.702177
15	MOLDURAS	2.00	18	1	0.703566
15	ALMOFADAS	3.00	19	1	0.704493
15	CORTINAS	6.00	20	1	0.705419
15	LENÇOIS	6.00	21	1	0.705882
15	LIVROS	5.00	22	1	0.707272
15	VASOS	4.00	20	1	0.707735
15	TALHERES	3.00	16	1	0.710051
15	COPOS	2.00	15	1	0.712367
15	CADEIRAS	7.00	18	1	0.713756
15	COPOS PAPEL	1.00	15	1	0.716535
15	GUARDANAPOS	3.00	10	3	0.722094
15	PRATOS	4.00	17	1	0.724873
15	PRATOS SOPA	4.00	17	2	0.727652
16	CHAMPÔ	3.00	16	1	0.733673
16	LACA	3.00	16	1	0.739231
16	GEL	2.00	15	1	0.745252
16	DESINFETANTE	1.00	15	1	0.754053
16	PASTA DENTES	3.00	17	2	0.763316
16	ESCOVA DENTES	2.00	18	1	0.772580
16	GEL BANHO	1.00	16	2	0.782770
16	DEPILADORES	4.00	20	1	0.790644
17	MAT. ESCRITÓRIO	3.00	18	2	0.797591
17	CANETAS	1.00	17	1	0.802686
17	MOCHILAS	5.00	16	1	0.804539
17	BLOCOS DE NOTAS	0.50	17	1	0.806855
17	LÁPIS	0.50	15	1	0.812413
17	CANETAS PINTAR	0.70	16	1	0.815192
17	ESQUADRO	0.40	17	1	0.817045
17	RÉGUA	0.40	17	1	0.818434
17	TESOURA	0.50	17	1	0.820287
17	TRANSFERIDORES	0.40	20	1	0.821677
17	BORRACHAS	0.40	21	1	0.823066
17	LÁPIS PINTAR	0.70	22	1	0.824919
17	MARCADORES	0.60	18	1	0.826772
17	COMPUTADOR	1000.00	15	1	0.827235
18	PAPEL HIGIÉNICO	8.00	20	4	0.868921
19	REVISTAS	1.50	15	1	0.876795
19	JORNAIS	1.00	10	1	0.885595
20	MEIAS DESPORTO	2.00	14	1	0.892543
20	MEIAS VIDRO	2.00	17	1	0.899954
21	TELEVISÃO	340.00	19	2	0.900417
22	BICICLETES	70.00	20	1	0.901343
23	PILHAS	1.00	13	1	0.917554
23	PUDINS	0.80	12	2	0.926355
23	BOLACHAS 	0.70	10	2	0.940250
23	BOLACHAS INTEGRAIS	0.80	17	1	0.950903
23	TORTAS	0.80	19	1	0.959240
23	TOSTAS	0.80	16	2	0.968041
23	PIPOCAS	0.60	16	2	0.973136
23	BATATA FRITA	0.80	2	2	0.982862
23	PRINGLES	0.90	6	1	0.991663
23	NACHOS	0.80	6	1	0.997684
24	TINTA	20.00	16	1	0.999074
24	PINCEIS	3.00	16	1	1.000000
